gene	logFC	logCPM	LR	PValue	FDR	de_family	de_method	de_type
Mirg	1.709962004	7.744099859	338.440717	1.39E-75	6.12E-72	pseudobulk	edgeR	LRT
C130071C03Rik	1.319949802	9.27504465	253.1164683	5.43E-57	1.19E-53	pseudobulk	edgeR	LRT
2810049E08Rik	1.981354483	6.355610593	193.4617226	5.58E-44	8.16E-41	pseudobulk	edgeR	LRT
Gm26652	1.939184413	6.710814881	161.6386493	4.96E-37	5.44E-34	pseudobulk	edgeR	LRT
Mir124a-1hg	0.924177908	8.67003831	152.4927983	4.94E-35	4.34E-32	pseudobulk	edgeR	LRT
Lncpint	0.945560708	10.39645489	121.5790176	2.85E-28	2.09E-25	pseudobulk	edgeR	LRT
B830012L14Rik	1.120962409	8.435178438	115.1784897	7.19E-27	4.51E-24	pseudobulk	edgeR	LRT
Mir9-3hg	1.015146498	7.977631928	102.1282359	5.20E-24	2.85E-21	pseudobulk	edgeR	LRT
Gm49317	0.849940166	8.932274761	93.31730786	4.45E-22	2.17E-19	pseudobulk	edgeR	LRT
Gm27032	-1.497946853	6.603628799	75.48764484	3.68E-18	1.61E-15	pseudobulk	edgeR	LRT
Gm3764	0.95635998	7.800509039	72.77528706	1.45E-17	5.79E-15	pseudobulk	edgeR	LRT
Spaca6	1.085901635	6.102826663	62.14119506	3.20E-15	1.17E-12	pseudobulk	edgeR	LRT
C78859	0.931020217	6.089050931	41.67538211	1.08E-10	3.64E-08	pseudobulk	edgeR	LRT
Ftx	0.52641227	8.305621281	32.06577434	1.49E-08	4.67E-06	pseudobulk	edgeR	LRT
5330434G04Rik	0.573404111	7.741440985	29.03213438	7.12E-08	2.08E-05	pseudobulk	edgeR	LRT
Epha7	0.391711182	8.784055746	23.30035203	1.39E-06	0.000379954	pseudobulk	edgeR	LRT
Sntb2	0.627434811	7.58405625	22.94146086	1.67E-06	0.000430985	pseudobulk	edgeR	LRT
Vwc2l	-1.188546581	5.688243572	22.18552456	2.48E-06	0.000603293	pseudobulk	edgeR	LRT
Ntng1	0.688900595	7.94747929	21.06151195	4.45E-06	0.001026957	pseudobulk	edgeR	LRT
9530059O14Rik	0.477006391	8.866632291	19.81772087	8.52E-06	0.001868625	pseudobulk	edgeR	LRT
Rab3c	0.405650798	7.999276036	17.77706549	2.48E-05	0.005188338	pseudobulk	edgeR	LRT
Kcnab1	0.573170666	8.80079696	16.61213174	4.59E-05	0.009144254	pseudobulk	edgeR	LRT
Samd5	-0.6669311	6.359998592	16.19852747	5.70E-05	0.010879462	pseudobulk	edgeR	LRT
Enox2	0.702193117	5.854210371	15.66180336	7.57E-05	0.013844349	pseudobulk	edgeR	LRT
Matn2	-0.736768937	6.073707362	15.22960782	9.52E-05	0.016644263	pseudobulk	edgeR	LRT
Galnt13	-0.423058221	8.825549663	15.16248428	9.86E-05	0.016644263	pseudobulk	edgeR	LRT
Rgs20	-0.605264356	6.663485101	14.78713427	0.000120354	0.019555268	pseudobulk	edgeR	LRT
Usp29	0.445280967	6.915106264	14.54169865	0.000137091	0.021479277	pseudobulk	edgeR	LRT
Deaf1	-0.762477313	5.582527218	14.17145756	0.000166883	0.025245356	pseudobulk	edgeR	LRT
Pnkd	0.571461682	6.048810178	13.86554822	0.000196365	0.028715154	pseudobulk	edgeR	LRT
Ptpre	0.495571505	6.350693807	13.20472388	0.000279244	0.039517584	pseudobulk	edgeR	LRT
Bicc1	-0.551338909	6.403689544	12.96912862	0.000316669	0.043413392	pseudobulk	edgeR	LRT
Gm20754	-0.578080585	8.067352156	12.71894346	0.00036197	0.0481201	pseudobulk	edgeR	LRT
Bicral	0.451485832	6.481045936	12.51520812	0.000403653	0.052083086	pseudobulk	edgeR	LRT
Pard3	-0.592290809	6.152758868	12.44745884	0.000418561	0.052463619	pseudobulk	edgeR	LRT
Nxpe4	-0.479544815	7.427911083	12.37043532	0.000436186	0.053154098	pseudobulk	edgeR	LRT
Zfp738	-0.644470177	5.973304769	12.20161851	0.000477481	0.056613728	pseudobulk	edgeR	LRT
Qk	0.493485288	6.606583322	12.11203205	0.000500975	0.057836259	pseudobulk	edgeR	LRT
Slc24a3	0.497450687	8.077954145	11.81768458	0.000586708	0.065997101	pseudobulk	edgeR	LRT
Adgrb1	0.309671749	7.800279403	11.45255014	0.00071396	0.077405005	pseudobulk	edgeR	LRT
Kdm3a	-0.495060588	6.458190779	11.4281128	0.000723411	0.077405005	pseudobulk	edgeR	LRT
Ammecr1	0.540722572	5.913084331	10.99993606	0.00091115	0.095171819	pseudobulk	edgeR	LRT
Csmd2	0.21528111	9.015890703	10.40952428	0.00125367	0.126313586	pseudobulk	edgeR	LRT
Pex5l	0.305818995	10.22953704	10.39017099	0.001266879	0.126313586	pseudobulk	edgeR	LRT
Ccdc88c	-0.645046565	5.658741988	10.26286713	0.001357346	0.132040004	pseudobulk	edgeR	LRT
Ryr3	0.453889052	8.602204922	10.22631652	0.001384509	0.132040004	pseudobulk	edgeR	LRT
Sorbs1	0.35898138	8.024866763	10.10262444	0.001480583	0.137699062	pseudobulk	edgeR	LRT
St6galnac5	0.393076249	8.735351074	10.03681313	0.001534424	0.137699062	pseudobulk	edgeR	LRT
Fhl2	0.353013577	6.916786635	10.03251262	0.001538011	0.137699062	pseudobulk	edgeR	LRT
Uggt1	-0.445132818	6.361251086	9.918512336	0.001636246	0.140845693	pseudobulk	edgeR	LRT
Meg3	0.176103099	12.69687412	9.874622858	0.001675739	0.140845693	pseudobulk	edgeR	LRT
Cfap69	-0.475194211	6.433852873	9.855327308	0.001693407	0.140845693	pseudobulk	edgeR	LRT
Mdn1	-0.384657414	7.028997658	9.846471996	0.001701578	0.140845693	pseudobulk	edgeR	LRT
Evl	0.40539051	6.624237328	9.811908621	0.001733855	0.140859643	pseudobulk	edgeR	LRT
Tox	0.430361424	9.230209946	9.776268874	0.001767787	0.141005104	pseudobulk	edgeR	LRT
Ghr	-0.549058248	6.081840062	9.74135114	0.001801684	0.14114265	pseudobulk	edgeR	LRT
Plcl2	0.28628454	8.197289256	9.669102867	0.001873928	0.144226702	pseudobulk	edgeR	LRT
Slc4a8	0.473914543	6.029656882	9.526637088	0.002025109	0.153175025	pseudobulk	edgeR	LRT
Rps6ka2	-0.433564984	6.816658271	9.484288127	0.00207239	0.154094498	pseudobulk	edgeR	LRT
Neto2	-0.548233818	6.109662748	9.442165024	0.00212053	0.155046102	pseudobulk	edgeR	LRT
Frmd5	0.343775512	8.983925771	9.403697618	0.002165483	0.155737265	pseudobulk	edgeR	LRT
Gm37240	-0.524687954	6.034884385	9.319281712	0.002267549	0.160447356	pseudobulk	edgeR	LRT
Pde4a	0.35159919	7.328661024	9.144969975	0.002494027	0.172607552	pseudobulk	edgeR	LRT
Scube1	-0.536311151	6.5832928	9.127398657	0.002518095	0.172607552	pseudobulk	edgeR	LRT
Zfhx4	-0.86990538	5.718956727	9.045240537	0.002633796	0.177760953	pseudobulk	edgeR	LRT
Pou6f2	0.480021723	6.662311461	8.993234003	0.00270981	0.18012026	pseudobulk	edgeR	LRT
Gm14410	-0.551748702	5.672166087	8.906851077	0.002841027	0.186023691	pseudobulk	edgeR	LRT
Mysm1	0.338415527	6.979962336	8.847237628	0.002935328	0.189371828	pseudobulk	edgeR	LRT
Osbpl9	-0.397327159	7.022617126	8.752414122	0.003091925	0.196583682	pseudobulk	edgeR	LRT
E2f3	-0.494143309	5.912669402	8.707081064	0.003169763	0.198067558	pseudobulk	edgeR	LRT
Pag1	-0.483539126	5.958642111	8.632841184	0.003301563	0.198067558	pseudobulk	edgeR	LRT
Bbof1	-0.49773508	5.987811802	8.62621117	0.0033136	0.198067558	pseudobulk	edgeR	LRT
Slc24a2	0.375114778	10.0395901	8.622848458	0.003319723	0.198067558	pseudobulk	edgeR	LRT
Gpatch2	-0.48041292	6.247029663	8.607192746	0.00334838	0.198067558	pseudobulk	edgeR	LRT
Efna5	0.310099843	9.141423636	8.586761832	0.003386156	0.198067558	pseudobulk	edgeR	LRT
Rap1a	-0.454813558	6.135019886	8.532802628	0.003488022	0.201341468	pseudobulk	edgeR	LRT
Arel1	0.456347139	5.804553009	8.443022455	0.003664467	0.208779437	pseudobulk	edgeR	LRT
Prr16	-0.374200574	9.046311288	8.396219756	0.003760021	0.21147709	pseudobulk	edgeR	LRT
Kcnip3	0.327955514	7.369865888	8.352877636	0.00385077	0.213577903	pseudobulk	edgeR	LRT
Eda	-0.529796619	6.466907098	8.332248683	0.003894742	0.213577903	pseudobulk	edgeR	LRT
Diaph2	0.243410141	8.686029299	8.273936535	0.004021821	0.216660494	pseudobulk	edgeR	LRT
Tafa5	-0.354099546	6.998934899	8.261381939	0.004049729	0.216660494	pseudobulk	edgeR	LRT
Nrcam	0.17978319	10.21953785	8.199054419	0.004191223	0.220756654	pseudobulk	edgeR	LRT
Nipal2	-0.475558878	5.928104576	8.166050013	0.004268176	0.220756654	pseudobulk	edgeR	LRT
Nsf	0.213850588	8.652238401	8.162196204	0.004277255	0.220756654	pseudobulk	edgeR	LRT
Ptpn5	0.335442973	7.681555285	8.120094047	0.004377729	0.220933779	pseudobulk	edgeR	LRT
Grb14	-0.451903717	6.324304625	8.118570883	0.004381408	0.220933779	pseudobulk	edgeR	LRT
Serp2	0.490779914	5.746675634	8.041012305	0.004572997	0.224096549	pseudobulk	edgeR	LRT
Etv1	0.55734981	6.608846418	8.032975131	0.004593333	0.224096549	pseudobulk	edgeR	LRT
Maml3	0.596272953	7.829942186	7.995808648	0.004688576	0.224096549	pseudobulk	edgeR	LRT
Prmt2	0.45695156	6.031115732	7.994910801	0.004690901	0.224096549	pseudobulk	edgeR	LRT
Edil3	-0.27006451	8.84014425	7.991579406	0.00469954	0.224096549	pseudobulk	edgeR	LRT
Zbtb16	0.38863353	8.110528966	7.883498221	0.004988789	0.235331356	pseudobulk	edgeR	LRT
Pde4d	0.206643471	10.95282747	7.771809769	0.005306785	0.245281609	pseudobulk	edgeR	LRT
Srpk1	-0.3643683	6.678993646	7.77019002	0.005311546	0.245281609	pseudobulk	edgeR	LRT
Neto1	0.238737336	8.457039175	7.728582005	0.005435342	0.246815642	pseudobulk	edgeR	LRT
Phf12	0.403040616	6.363215465	7.721307196	0.005457287	0.246815642	pseudobulk	edgeR	LRT
Hp1bp3	0.338465504	6.565023551	7.494525355	0.006188684	0.276439725	pseudobulk	edgeR	LRT
Tbc1d19	-0.355838889	6.692127018	7.480139099	0.006238325	0.276439725	pseudobulk	edgeR	LRT
Slc8a2	0.330451743	7.018420136	7.457602301	0.006316909	0.2771228	pseudobulk	edgeR	LRT
Pfkp	0.25128116	7.7705109	7.403617975	0.006509283	0.2827349	pseudobulk	edgeR	LRT
Gm41361	-0.541575919	5.532294492	7.343627866	0.006730088	0.284255349	pseudobulk	edgeR	LRT
Abl1	0.419382862	5.921212978	7.341553882	0.006737857	0.284255349	pseudobulk	edgeR	LRT
Hlcs	-0.455801812	6.044050452	7.326871635	0.006793119	0.284255349	pseudobulk	edgeR	LRT
Clstn1	0.265164356	7.719494386	7.311323983	0.006852142	0.284255349	pseudobulk	edgeR	LRT
Arpp21	0.182349971	11.36943096	7.3018531	0.006888353	0.284255349	pseudobulk	edgeR	LRT
Marchf1	-0.32125766	10.36011417	7.290230687	0.006933057	0.284255349	pseudobulk	edgeR	LRT
Cystm1	-0.553152987	5.617088006	7.23509043	0.007149221	0.290404002	pseudobulk	edgeR	LRT
Srsf11	-0.236447467	8.63439342	7.192125992	0.007322417	0.294710504	pseudobulk	edgeR	LRT
Slc6a7	0.380760481	6.167452281	7.158780106	0.007459791	0.297510043	pseudobulk	edgeR	LRT
Slc7a14	-0.327466598	6.933082702	7.089671913	0.007752944	0.306415901	pseudobulk	edgeR	LRT
Map1a	0.390619451	6.464125975	7.01284055	0.008092718	0.316409085	pseudobulk	edgeR	LRT
Galnt14	0.570944057	7.283349685	7.000204551	0.00815004	0.316409085	pseudobulk	edgeR	LRT
Prkcb	0.192540039	9.8138148	6.969534458	0.008290906	0.316611109	pseudobulk	edgeR	LRT
Magi2	0.191101556	11.5079072	6.967662469	0.008299585	0.316611109	pseudobulk	edgeR	LRT
Chn1	0.208212206	9.033586162	6.940562948	0.008426259	0.318672398	pseudobulk	edgeR	LRT
Arglu1	-0.358093087	6.9588159	6.915012943	0.008547502	0.320494808	pseudobulk	edgeR	LRT
Fmnl1	0.450762792	6.044905266	6.896365827	0.008637115	0.321110363	pseudobulk	edgeR	LRT
Aopep	0.209011726	9.118818384	6.878872338	0.008722058	0.321543418	pseudobulk	edgeR	LRT
Kitl	-0.704653333	6.051244751	6.821117716	0.009008617	0.329340023	pseudobulk	edgeR	LRT
Habp4	-0.438812349	5.993895092	6.801409068	0.009108596	0.330243059	pseudobulk	edgeR	LRT
Klhl29	0.248825009	9.103291527	6.780731427	0.009214712	0.33135199	pseudobulk	edgeR	LRT
Mei4	-0.714580987	6.109452376	6.736476757	0.0094461	0.336910903	pseudobulk	edgeR	LRT
Cers4	-0.368078895	6.556685231	6.689902636	0.00969605	0.343036867	pseudobulk	edgeR	LRT
Phactr1	0.171785894	12.04390747	6.670877263	0.009800094	0.343220403	pseudobulk	edgeR	LRT
Eml4	-0.271284731	7.398428248	6.660199632	0.009858987	0.343220403	pseudobulk	edgeR	LRT
Camk2d	-0.348547385	7.890139611	6.646344827	0.009935945	0.343220403	pseudobulk	edgeR	LRT
R3hdm1	0.238814429	10.95570642	6.629733209	0.010029028	0.34372928	pseudobulk	edgeR	LRT
Kif26b	-0.459629736	6.246268481	6.602897764	0.010181294	0.344124553	pseudobulk	edgeR	LRT
Mtcl1	0.301591375	7.240805257	6.600075363	0.010197445	0.344124553	pseudobulk	edgeR	LRT
Nrg2	-0.303880245	7.26159318	6.560778532	0.010425075	0.34912063	pseudobulk	edgeR	LRT
Morf4l1	-0.352980234	6.560121209	6.535699036	0.010573067	0.350684862	pseudobulk	edgeR	LRT
Rasgef1a	0.247526881	7.743904099	6.502672499	0.010771247	0.350684862	pseudobulk	edgeR	LRT
Tmtc1	-0.281358436	7.451134882	6.489795209	0.010849548	0.350684862	pseudobulk	edgeR	LRT
Adgrb2	0.314318686	6.940720457	6.484469171	0.010882103	0.350684862	pseudobulk	edgeR	LRT
Fam135a	-0.290931704	7.173018759	6.471994343	0.010958749	0.350684862	pseudobulk	edgeR	LRT
Arrb1	0.412592525	5.678217241	6.471205233	0.010963616	0.350684862	pseudobulk	edgeR	LRT
Runx1t1	0.225370198	8.045296403	6.453908913	0.011070851	0.350684862	pseudobulk	edgeR	LRT
Got1	0.334636028	6.731114762	6.447432135	0.011111282	0.350684862	pseudobulk	edgeR	LRT
Cntnap4	-0.530637973	6.388612041	6.431289332	0.011212716	0.351358449	pseudobulk	edgeR	LRT
Cux1	-0.328184185	7.015049499	6.393256128	0.011455471	0.355366017	pseudobulk	edgeR	LRT
Bach2	0.301584449	7.431234781	6.385965808	0.011502616	0.355366017	pseudobulk	edgeR	LRT
Gprasp1	0.241695871	7.759646323	6.348470677	0.011748253	0.358808357	pseudobulk	edgeR	LRT
Ptprs	0.200518571	8.649334092	6.331726905	0.011859678	0.358808357	pseudobulk	edgeR	LRT
Dlg4	0.30179985	6.707911949	6.319426438	0.011942225	0.358808357	pseudobulk	edgeR	LRT
Dnm3	-0.265188424	8.10053332	6.30631012	0.012030897	0.358808357	pseudobulk	edgeR	LRT
1700025G04Rik	0.262186315	7.35285528	6.306304034	0.012030939	0.358808357	pseudobulk	edgeR	LRT
Tle4	0.437783956	5.918794377	6.295458171	0.012104772	0.358808357	pseudobulk	edgeR	LRT
Guf1	-0.385357128	6.193634282	6.281733898	0.012198869	0.35917072	pseudobulk	edgeR	LRT
Msh3	-0.497623671	5.804704604	6.259719431	0.012351376	0.360438323	pseudobulk	edgeR	LRT
Trps1	-0.371118699	6.925736398	6.248035012	0.012433116	0.360438323	pseudobulk	edgeR	LRT
Ndst3	0.27652953	8.654677512	6.230717044	0.012555289	0.360438323	pseudobulk	edgeR	LRT
Kifap3	0.214603873	7.99753345	6.228563976	0.012570564	0.360438323	pseudobulk	edgeR	LRT
Ulk4	-0.314326213	6.871531781	6.108849749	0.013450664	0.383169237	pseudobulk	edgeR	LRT
Spats2	-0.50395725	5.569342949	6.069583193	0.013752941	0.387131285	pseudobulk	edgeR	LRT
Dtnb	0.21428432	8.288362915	6.067876502	0.013766237	0.387131285	pseudobulk	edgeR	LRT
Sorl1	0.282142728	8.10252293	6.028576232	0.014076083	0.392313719	pseudobulk	edgeR	LRT
Plppr4	0.240383713	7.610894478	6.014694834	0.014187232	0.392313719	pseudobulk	edgeR	LRT
Spats2l	-0.323579814	7.049489951	6.00298456	0.014281699	0.392313719	pseudobulk	edgeR	LRT
Mkrn1	0.483814748	5.729571806	5.991247006	0.014377035	0.392313719	pseudobulk	edgeR	LRT
Pcsk7	0.332514039	6.188099862	5.988719017	0.014397654	0.392313719	pseudobulk	edgeR	LRT
Nkain3	0.280063114	7.62298418	5.901211107	0.015130477	0.409338547	pseudobulk	edgeR	LRT
Opcml	0.190285157	12.56713583	5.891075572	0.015217803	0.409338547	pseudobulk	edgeR	LRT
Adamts3	-0.435198348	6.590367497	5.881316529	0.015302376	0.409338547	pseudobulk	edgeR	LRT
Cfap36	-0.365528247	6.174990538	5.866223031	0.015434131	0.410360817	pseudobulk	edgeR	LRT
Erlec1	-0.384138938	6.024718907	5.819173866	0.015852389	0.418942352	pseudobulk	edgeR	LRT
Lsm7	-0.401932019	5.952147446	5.79987961	0.016027272	0.419163156	pseudobulk	edgeR	LRT
Map4k3	0.223474253	7.68267578	5.783220395	0.01617987	0.419163156	pseudobulk	edgeR	LRT
Bsn	0.221502329	7.843261535	5.78042172	0.016205653	0.419163156	pseudobulk	edgeR	LRT
Klf8	-0.499871536	5.753348648	5.75903511	0.016404078	0.419163156	pseudobulk	edgeR	LRT
Rpl37	0.409145178	6.038060002	5.747973711	0.016507687	0.419163156	pseudobulk	edgeR	LRT
Sel1l3	0.253638406	7.346790509	5.747781492	0.016509493	0.419163156	pseudobulk	edgeR	LRT
Lztfl1	-0.295642559	6.704939031	5.732496479	0.016653791	0.419163156	pseudobulk	edgeR	LRT
Cers6	-0.204424575	8.056374218	5.732466322	0.016654077	0.419163156	pseudobulk	edgeR	LRT
Rtf1	0.303179088	6.491077588	5.712712419	0.016842496	0.419163156	pseudobulk	edgeR	LRT
Rimbp2	0.207460925	8.718200145	5.709338813	0.016874894	0.419163156	pseudobulk	edgeR	LRT
Numb	-0.219644654	8.443736719	5.700368796	0.016961349	0.419163156	pseudobulk	edgeR	LRT
Golga3	0.417658282	5.718030877	5.695619944	0.017007304	0.419163156	pseudobulk	edgeR	LRT
Phkb	-0.343860428	6.48992704	5.661509742	0.01734119	0.423727629	pseudobulk	edgeR	LRT
Lrp1	0.306758109	6.660693744	5.657015897	0.017385679	0.423727629	pseudobulk	edgeR	LRT
Tardbp	-0.364223429	6.594456857	5.632128798	0.017634204	0.423797787	pseudobulk	edgeR	LRT
Zeb1	0.321021916	7.525797337	5.614814972	0.017809261	0.423797787	pseudobulk	edgeR	LRT
Dnajc6	0.189170334	8.681751115	5.60844856	0.017874082	0.423797787	pseudobulk	edgeR	LRT
Samd4	-0.346841373	6.615742918	5.599059072	0.017970126	0.423797787	pseudobulk	edgeR	LRT
Ap2b1	0.24607646	7.636000937	5.599023506	0.017970491	0.423797787	pseudobulk	edgeR	LRT
Stxbp4	-0.424516577	5.8597586	5.591328344	0.018049603	0.423797787	pseudobulk	edgeR	LRT
Mitf	-0.429701364	5.884724783	5.583027732	0.018135344	0.423797787	pseudobulk	edgeR	LRT
A830036E02Rik	0.344833066	6.869709741	5.555700513	0.0184206	0.423797787	pseudobulk	edgeR	LRT
Syngr1	0.316015843	6.505168293	5.55365625	0.018442125	0.423797787	pseudobulk	edgeR	LRT
Tom1l1	-0.467546578	5.756153647	5.552890396	0.018450195	0.423797787	pseudobulk	edgeR	LRT
Dscam	0.196398863	9.413359909	5.552795865	0.018451192	0.423797787	pseudobulk	edgeR	LRT
Atp5d	0.331149545	6.667283083	5.543474928	0.018549714	0.423841638	pseudobulk	edgeR	LRT
Fam168a	0.196289766	8.069329171	5.53286727	0.018662498	0.424209218	pseudobulk	edgeR	LRT
Tex10	-0.384071585	6.138131939	5.505118382	0.018960897	0.42877038	pseudobulk	edgeR	LRT
Psmc1	0.426253666	5.638805677	5.477593828	0.019261755	0.431454449	pseudobulk	edgeR	LRT
Cux2	-0.295957874	7.344038205	5.470694427	0.01933794	0.431454449	pseudobulk	edgeR	LRT
Kcnn2	0.281637222	7.70818236	5.462561891	0.019428142	0.431454449	pseudobulk	edgeR	LRT
Abr	-0.19884153	8.121581803	5.457036119	0.019489679	0.431454449	pseudobulk	edgeR	LRT
Gnptab	-0.40324923	5.973582247	5.449731678	0.019571332	0.431454449	pseudobulk	edgeR	LRT
Chsy3	0.276847337	9.705370295	5.425909936	0.019840094	0.435192461	pseudobulk	edgeR	LRT
Epb41l3	-0.206890582	8.13948794	5.405178687	0.020077093	0.438172543	pseudobulk	edgeR	LRT
Slc12a5	0.234924092	7.25950092	5.392397365	0.020224666	0.438172543	pseudobulk	edgeR	LRT
Caml	0.398308425	5.669361506	5.388008963	0.020275593	0.438172543	pseudobulk	edgeR	LRT
Ndufaf2	-0.384304875	5.902984395	5.37311169	0.020449465	0.438358142	pseudobulk	edgeR	LRT
4930578G10Rik	0.213708519	8.746425824	5.370166231	0.020484025	0.438358142	pseudobulk	edgeR	LRT
Tagln3	0.347521737	6.264490393	5.359832203	0.020605756	0.438822585	pseudobulk	edgeR	LRT
Zfp697	-0.206110136	8.04699173	5.33835682	0.020861128	0.442114823	pseudobulk	edgeR	LRT
Arid5b	0.265876462	8.02785413	5.311872431	0.02118058	0.446215133	pseudobulk	edgeR	LRT
Gpm6a	0.174943177	9.642763395	5.30096377	0.021313628	0.446215133	pseudobulk	edgeR	LRT
Add2	0.217480477	7.916210748	5.297199505	0.02135974	0.446215133	pseudobulk	edgeR	LRT
Ankrd24	-0.46991638	5.975800465	5.265305205	0.021754608	0.452310259	pseudobulk	edgeR	LRT
Atg3	-0.359092438	6.122841705	5.256833487	0.021860757	0.452373316	pseudobulk	edgeR	LRT
Tomm40	-0.453917648	5.664703075	5.234140456	0.02214775	0.456160459	pseudobulk	edgeR	LRT
Zfp385b	0.284217743	9.030200721	5.147266738	0.023282994	0.472287776	pseudobulk	edgeR	LRT
Agap2	0.365423624	5.806120929	5.142075198	0.023352717	0.472287776	pseudobulk	edgeR	LRT
Efr3b	-0.269905158	7.151965221	5.140563984	0.023373054	0.472287776	pseudobulk	edgeR	LRT
Lrif1	0.335780188	6.214114732	5.133924553	0.023462619	0.472287776	pseudobulk	edgeR	LRT
Fam126b	0.22305747	7.610286068	5.133448607	0.023469053	0.472287776	pseudobulk	edgeR	LRT
Sik2	0.274317699	7.968811868	5.109156537	0.023799888	0.476758488	pseudobulk	edgeR	LRT
Smarca2	-0.239396542	8.176828349	5.099334192	0.023935029	0.47728624	pseudobulk	edgeR	LRT
Alcam	-0.314570785	9.037614145	5.087850719	0.024094035	0.477756956	pseudobulk	edgeR	LRT
Adgra1	0.315799142	6.484302564	5.07785368	0.024233351	0.477756956	pseudobulk	edgeR	LRT
Arl15	-0.200087962	9.015659197	5.070659219	0.024334128	0.477756956	pseudobulk	edgeR	LRT
Orc3	0.365670744	5.936193576	5.062780602	0.024444987	0.477756956	pseudobulk	edgeR	LRT
Kras	-0.341692586	6.351968052	5.058661947	0.024503149	0.477756956	pseudobulk	edgeR	LRT
Mphosph8	0.303093622	6.255219815	5.024182917	0.024995717	0.482129563	pseudobulk	edgeR	LRT
Nf2	-0.406480997	5.744028026	5.019772564	0.02505946	0.482129563	pseudobulk	edgeR	LRT
Anks3	0.316201948	6.262164063	5.019528872	0.025062987	0.482129563	pseudobulk	edgeR	LRT
Rab5a	-0.436545408	5.573170691	5.009191505	0.02521308	0.482129563	pseudobulk	edgeR	LRT
Lims1	-0.311242433	6.45756872	5.002856582	0.02530552	0.482129563	pseudobulk	edgeR	LRT
Daam1	-0.304559965	6.907283032	4.988170901	0.025521172	0.482129563	pseudobulk	edgeR	LRT
Rap1gds1	0.178258981	8.26429372	4.978850229	0.025659031	0.482129563	pseudobulk	edgeR	LRT
Snx30	-0.374327291	5.994103578	4.978818254	0.025659505	0.482129563	pseudobulk	edgeR	LRT
Map3k7	0.340753277	6.151265195	4.974979577	0.025716507	0.482129563	pseudobulk	edgeR	LRT
Ank	0.210169826	8.059281335	4.954685581	0.026020056	0.484216724	pseudobulk	edgeR	LRT
Cpeb1	-0.201932527	7.670894173	4.939113046	0.026255506	0.484216724	pseudobulk	edgeR	LRT
Vapb	0.357312628	6.018908542	4.928603228	0.026415661	0.484216724	pseudobulk	edgeR	LRT
Ttll7	-0.207272488	7.654303535	4.927424645	0.026433684	0.484216724	pseudobulk	edgeR	LRT
Kdm3b	0.325734116	6.119961982	4.909916669	0.026702929	0.484216724	pseudobulk	edgeR	LRT
Pkm	0.344501155	7.293126355	4.908998295	0.026717131	0.484216724	pseudobulk	edgeR	LRT
Gm4876	-0.397918886	6.285484316	4.895269175	0.026930375	0.484216724	pseudobulk	edgeR	LRT
Aftph	0.279100997	6.633185704	4.893511037	0.02695781	0.484216724	pseudobulk	edgeR	LRT
Fstl5	-0.32178686	6.832096839	4.892856453	0.026968032	0.484216724	pseudobulk	edgeR	LRT
Cox8a	0.270241951	7.415067706	4.891167794	0.026994421	0.484216724	pseudobulk	edgeR	LRT
Lsamp	-0.35423608	12.67972188	4.888129779	0.027041964	0.484216724	pseudobulk	edgeR	LRT
Zfp644	0.256499502	6.916472776	4.833310925	0.027914973	0.494103665	pseudobulk	edgeR	LRT
Camk2b	0.189247472	7.84262858	4.819729557	0.028135759	0.494103665	pseudobulk	edgeR	LRT
Prickle2	0.224552219	9.832670755	4.816494927	0.028188611	0.494103665	pseudobulk	edgeR	LRT
Tcf20	0.212506769	7.790667546	4.81126096	0.028274349	0.494103665	pseudobulk	edgeR	LRT
Trpc5	-0.288927855	7.591567539	4.797512232	0.028500863	0.494103665	pseudobulk	edgeR	LRT
Secisbp2	-0.423412956	5.680798637	4.797350878	0.028503533	0.494103665	pseudobulk	edgeR	LRT
Asxl3	0.279371774	6.619921738	4.797126079	0.028507252	0.494103665	pseudobulk	edgeR	LRT
Gria2	0.123931116	10.67391346	4.795001863	0.028542426	0.494103665	pseudobulk	edgeR	LRT
Dlg3	0.347127724	5.786080228	4.791062167	0.02860778	0.494103665	pseudobulk	edgeR	LRT
Sh3rf1	0.22728558	7.522258919	4.76376672	0.029064875	0.499507599	pseudobulk	edgeR	LRT
Tanc2	0.158897203	9.932506477	4.758828515	0.029148381	0.499507599	pseudobulk	edgeR	LRT
Eif3h	0.333568925	5.96113917	4.738929762	0.02948741	0.501978078	pseudobulk	edgeR	LRT
Immp1l	0.385217815	5.692183794	4.736948419	0.029521391	0.501978078	pseudobulk	edgeR	LRT
Fmnl2	-0.210761267	7.896205422	4.73014156	0.029638446	0.502022632	pseudobulk	edgeR	LRT
Rasal2	0.17611198	9.536452708	4.688395885	0.030366984	0.512384459	pseudobulk	edgeR	LRT
Sgtb	-0.374684699	6.045660005	4.655946676	0.030946164	0.520156397	pseudobulk	edgeR	LRT
Mgat5	-0.20978403	8.272960456	4.63371183	0.031349671	0.524927498	pseudobulk	edgeR	LRT
Mecr	-0.341907548	6.287186984	4.618658168	0.031625969	0.527177737	pseudobulk	edgeR	LRT
Dsel	0.387952446	5.903792013	4.613328713	0.031724395	0.527177737	pseudobulk	edgeR	LRT
Kdm4c	-0.228400549	7.464415729	4.583566083	0.032279969	0.534385758	pseudobulk	edgeR	LRT
